idsolicitud,total_activo,total_pasivo,patrimonio,fecha
"000000139","83500.00","0.00","83500.00","2018-03-02"
"000000140","7150.00","0.00","7150.00","2018-03-02"
"000000141","7990.00","735.00","7255.00","2018-03-02"
"000000143","5560.00","0.00","5560.00","2018-03-03"
"000000144","8000.00","1671.00","6329.00","2018-03-03"
"000000145","7530.00","0.00","7530.00","2018-03-03"
"000000146","10800.00","362.00","10438.00","2018-03-05"
"000000147","3050.00","0.00","3050.00","2018-03-12"
"000000148","25500.00","3892.00","21608.00","2018-03-05"
"000000149","50500.00","0.00","50500.00","2018-03-05"
"000000150","7560.00","0.00","7560.00","2018-03-05"
"000000151","12300.00","0.00","12300.00","2018-03-05"
"000000152","21910.00","0.00","21910.00","2018-03-10"
"000000153","29200.00","398.00","28802.00","2018-03-10"
"000000154","25500.00","3892.00","21608.00","2018-03-10"
"000000155","8500.00","0.00","8500.00","2018-03-10"
"000000156","7650.00","0.00","7650.00","2018-03-10"
"000000157","7700.00","0.00","7700.00","2018-03-10"
"000000158","1230.00","0.00","1230.00","2018-03-10"
"000000159","5050.00","0.00","5050.00","2018-03-10"
"000000160","1360.00","0.00","1360.00","2018-03-10"
"000000161","17450.00","0.00","17450.00","2018-03-10"
"000000162","6750.00","0.00","6750.00","2018-03-10"
"000000163","1220.00","0.00","1220.00","2018-03-10"
"000000164","6200.00","0.00","6200.00","2018-03-10"
"000000165","6700.00","0.00","6700.00","2018-03-10"
"000000166","18850.00","0.00","18850.00","2018-03-10"
"000000167","18850.00","0.00","18850.00","2018-03-10"
"000000168","22350.00","2088.00","20262.00","2018-03-12"
"000000169","2950.00","0.00","2950.00","2018-03-12"
"000000170","2130.00","0.00","2130.00","2018-03-12"
"000000171","8670.00","0.00","8670.00","2018-03-12"
"000000172","200.00","0.00","200.00","2018-03-12"
"000000173","1600.00","0.00","1600.00","2018-01-29"
"000000174","7500.00","0.00","7500.00","2018-02-03"
"000000175","5300.00","0.00","5300.00","2018-02-19"
"000000176","2450.00","65.00","2385.00","2018-02-06"
"000000177","8100.00","3000.00","5100.00","2018-03-13"
"000000178","8200.00","0.00","8200.00","2018-02-24"
"000000179","25500.00","5782.00","19718.00","2018-03-10"
"000000180","6800.00","3854.00","2946.00","2018-03-13"
"000000181","6200.00","0.00","6200.00","2018-03-10"
"000000182","1000.00","0.00","1000.00","2018-03-14"
"000000183","39000.00","15857.00","23143.00","2018-03-02"
"000000184","0.00","0.00","0.00","2018-03-14"
"000000185","10550.00","0.00","10550.00","2018-03-14"
"000000186","18150.00","0.00","18150.00","2018-02-19"
"000000187","4100.00","0.00","4100.00","2018-02-23"
"000000188","2500.00","202.00","2298.00","2018-02-23"
"000000189","13500.00","0.00","13500.00","2018-02-13"
"000000190","16800.00","0.00","16800.00","2018-03-16"
"000000191","26000.00","0.00","26000.00","2018-03-16"
"000000192","24600.00","5000.00","19600.00","2018-02-07"
"000000193","980.00","0.00","980.00","2018-03-16"
"000000194","1630.00","0.00","1630.00","2018-03-16"
"000000195","1600.00","0.00","1600.00","2018-02-14"
"000000196","4720.00","0.00","4720.00","2018-02-21"
"000000197","6900.00","0.00","6900.00","2018-03-17"
"000000198","1200.00","0.00","1200.00","2018-03-17"
"000000199","12300.00","288.00","12012.00","2018-02-28"
"000000200","8000.00","273.00","7727.00","2018-03-10"
"000000201","3470.00","200.00","3270.00","2018-02-12"
"000000202","7900.00","0.00","7900.00","2018-01-30"
"000000203","7850.00","0.00","7850.00","2018-02-13"
"000000204","20200.00","0.00","20200.00","2018-02-23"
"000000205","25180.00","0.00","25180.00","2018-03-21"
"000000206","6000.00","0.00","6000.00","2018-03-21"
"000000207","15600.00","1800.00","13800.00","2018-02-21"
"000000208","36000.00","26500.00","9500.00","2018-02-28"
"000000209","8200.00","500.00","7700.00","2018-03-10"
"000000210","5200.00","130.00","5070.00","2018-02-17"
"000000211","37000.00","971.00","36029.00","2018-03-21"
"000000212","10900.00","0.00","10900.00","2018-02-15"
"000000213","300.00","0.00","300.00","2018-03-22"
"000000214","280.00","0.00","280.00","2018-02-15"
"000000215","6000.00","0.00","6000.00","2018-03-22"
"000000216","24150.00","1600.00","22550.00","2018-02-27"
"000000217","36000.00","26500.00","9500.00","2018-02-28"
"000000218","3550.00","0.00","3550.00","2018-03-23"
"000000219","20200.00","0.00","20200.00","2018-02-08"
"000000220","3500.00","0.00","3500.00","2018-02-19"
"000000221","5500.00","0.00","5500.00","2018-03-23"
"000000222","7600.00","0.00","7600.00","2018-03-02"
"000000223","3250.00","0.00","3250.00","2018-03-24"
"000000224","3300.00","0.00","3300.00","2018-02-23"
"000000225","18300.00","0.00","18300.00","2018-03-02"
"000000226","8150.00","0.00","8150.00","2018-03-26"
"000000227","12300.00","0.00","12300.00","2018-03-05"
"000000228","3900.00","0.00","3900.00","2018-03-26"
"000000229","1600.00","0.00","1600.00","2018-02-28"
"000000230","6150.00","0.00","6150.00","2018-02-26"
"000000231","39000.00","16883.00","22117.00","2018-03-02"
"000000232","300.00","0.00","300.00","2018-03-27"
"000000233","8200.00","0.00","8200.00","2018-03-27"
"000000234","17300.00","0.00","17300.00","2018-02-17"
"000000235","15150.00","0.00","15150.00","2018-02-24"
"000000236","4200.00","0.00","4200.00","2018-02-23"
"000000237","7350.00","0.00","7350.00","2018-03-27"
"000000238","12300.00","990.00","11310.00","2018-02-28"
"000000239","1850.00","450.00","1400.00","2018-02-23"
"000000240","7060.00","0.00","7060.00","2018-02-20"
"000000241","19800.00","0.00","19800.00","2018-03-28"
"000000242","300.00","0.00","300.00","2018-03-28"
"000000243","15800.00","1500.00","14300.00","2018-02-19"
"000000244","7600.00","193.00","7407.00","2018-03-02"
"000000245","22350.00","2088.00","20262.00","2018-03-12"
"000000246","83500.00","0.00","83500.00","2018-03-02"
"000000247","34200.00","17407.00","16793.00","2018-02-22"
"000000248","1500.00","0.00","1500.00","2018-02-27"
"000000249","5650.00","432.00","5218.00","2018-03-01"
"000000250","50500.00","0.00","50500.00","2018-03-05"
"000000251","1460.00","0.00","1460.00","2018-02-22"
"000000252","3200.00","0.00","3200.00","2018-02-22"
"000000253","22350.00","2088.00","20262.00","2018-03-12"
"000000254","6900.00","0.00","6900.00","2018-03-17"
"000000255","6780.00","0.00","6780.00","2018-02-26"
"000000256","4250.00","0.00","4250.00","2018-03-01"
"000000257","8200.00","665.00","7535.00","2018-03-10"
"000000258","1220.00","0.00","1220.00","2018-03-10"
