idsolicitud,idsolicitud_acancelar,estado,saldocuota,saldomora,totaldeuda
"000017770","000016771","PAGO","0.00","4.00","4.00"
"000017775","000016910","PAGO","143.60","0.80","144.40"
"000017781","000017353","PAGO","0.00","0.30","0.30"
"000017782","000017337","PAGO","67.50","0.80","68.30"
"000017784","000017045","PAGO","49.00","0.30","49.30"
"000017785","000017100","PAGO","76.00","2.40","78.40"
"000017786","000016992","PAGO","272.50","0.00","272.50"
"000017787","000016922","PAGO","0.00","0.00","0.00"
"000017788","000016914","PAGO","3150.00","12.00","3162.00"
"000017789","000017099","PAGO","115.80","1.80","117.60"
"000017790","000017204","PAGO","420.00","0.00","420.00"
"000017791","000017059","PAGO","0.00","2.80","2.80"
"000017792","000017074","PAGO","860.00","14.00","874.00"
"000017793","000016767","PAGO","5.00","2.70","7.70"
"000017796","000017061","PAGO","272.20","0.00","272.20"
"000017797","000017298","PAGO","0.00","0.60","0.60"
"000017798","000016873","PAGO","0.00","1.80","1.80"
"000017800","000017095","PAGO","227.50","1.20","228.70"
"000017802","000017150","PAGO","202.00","0.00","202.00"
"000017804","000017104","PAGO","181.00","0.60","181.60"
"000017806","000017301","PAGO","272.50","0.40","272.90"
"000017807","000017365","PAGO","0.00","0.30","0.30"
"000017808","000012508","PAGO","0.00","1.50","1.50"
"000017811","000017434","PAGO","133.70","0.60","134.30"
"000017813","000016929","PAGO","0.00","3.20","3.20"
"000017814","000017012","PAGO","74.80","0.90","75.70"
"000017815","000017319","PAGO","1575.00","0.00","1575.00"
"000017816","000017112","PAGO","0.00","0.00","0.00"
"000017817","000017127","PAGO","5.00","2.80","7.80"
"000017818","000017001","PAGO","0.00","0.40","0.40"
"000017819","000017234","PAGO","653.30","3.20","656.50"
"000017820","000016959","PAGO","169.40","1.60","171.00"
"000017821","000016162","PAGO","0.00","3.60","3.60"
"000017822","000017067","PAGO","0.00","0.30","0.30"
"000017824","000017015","PAGO","218.00","5.60","223.60"
"000017826","000017011","PAGO","0.00","7.20","7.20"
"000017827","000016960","PAGO","5.40","0.30","5.70"
"000017828","000017075","PAGO","166.60","1.60","168.20"
"000017829","000017304","PAGO","136.10","0.60","136.70"
"000017831","000016338","PAGO","0.00","0.30","0.30"
"000017833","000017044","PAGO","12.00","0.00","12.00"
"000017834","000016939","PAGO","12.60","0.00","12.60"
"000017836","000017328","PAGO","1980.00","4.00","1984.00"
"000017837","000017260","PAGO","243.00","1.20","244.20"
"000017838","000017394","PAGO","0.00","0.60","0.60"
"000017840","000016901","PAGO","34.40","1.60","36.00"
"000017845","000017013","PAGO","317.00","18.00","335.00"
"000017848","000016976","PAGO","34.40","2.80","37.20"
"000017850","000016966","PAGO","0.00","1.60","1.60"
"000017851","000017396","PAGO","237.00","2.00","239.00"
"000017854","000017216","PAGO","197.50","2.40","199.90"
"000017856","000017029","PAGO","0.00","1.50","1.50"
"000017859","000017276","PAGO","53.00","1.20","54.20"
"000017861","000017086","PAGO","107.20","0.40","107.60"
"000017862","000017436","PAGO","272.50","0.00","272.50"
"000017863","000017280","PAGO","280.40","2.00","282.40"
"000017864","000017407","PAGO","151.80","1.80","153.60"
"000017868","000017231","PAGO","362.50","2.40","364.90"
"000017871","000017110","PAGO","114.00","0.00","114.00"
"000017872","000017320","PAGO","424.00","4.00","428.00"
