idsolicitud,idsolicitud_acancelar,estado,saldocuota,saldomora,totaldeuda
"000027173","000023179","PAGO","0.00","0.80","0.80"
"000027173","000026051","PAGO","0.00","0.30","0.30"
"000027174","000024376","PAGO","0.00","5.40","5.40"
"000027174","000024694","PAGO","0.00","6.00","6.00"
"000027174","000025607","PAGO","98.10","13.80","111.90"
"000027175","000025998","PAGO","228.90","7.50","236.40"
"000027176","000026043","PAGO","363.00","7.20","370.20"
"000027177","000026375","PAGO","0.00","1.20","1.20"
"000027179","000026545","PAGO","907.00","1.00","908.00"
"000027181","000026283","PAGO","2496.00","10.00","2506.00"
"000027182","000026259","PAGO","648.00","0.00","648.00"
"000027184","000026048","PAGO","0.00","0.90","0.90"
"000027186","000026255","PAGO","756.00","7.00","763.00"
"000027187","000026233","PAGO","170.00","3.20","173.20"
"000027189","000026266","PAGO","872.00","3.00","875.00"
"000027190","000026140","PAGO","9.10","1.50","10.60"
"000027191","000026486","PAGO","277.60","1.20","278.80"
"000027193","000026602","PAGO","1050.00","8.00","1058.00"
"000027194","000026607","PAGO","525.00","3.20","528.20"
"000027195","000026161","PAGO","261.00","4.00","265.00"
"000027198","000026269","PAGO","1782.50","2.00","1784.50"
"000027199","000026123","PAGO","217.10","0.80","217.90"
"000027201","000026065","PAGO","130.80","2.00","132.80"
"000027203","000022587","PAGO","0.00","2.00","2.00"
"000027204","000026144","PAGO","0.00","0.40","0.40"
"000027205","000026191","PAGO","0.00","0.30","0.30"
"000027206","000026271","PAGO","435.20","5.60","440.80"
"000027207","000026148","PAGO","202.00","0.00","202.00"
"000027210","000026464","PAGO","181.00","0.00","181.00"
"000027211","000026203","PAGO","33.00","0.00","33.00"
"000027214","000026705","PAGO","1584.00","0.00","1584.00"
"000027217","000026017","PAGO","0.00","1.20","1.20"
"000027218","000026352","PAGO","358.00","10.40","368.40"
"000027219","000021984","PAGO","0.00","5.60","5.60"
"000027223","000026155","PAGO","144.60","1.50","146.10"
"000027224","000026551","PAGO","820.00","0.00","820.00"
"000027225","000026115","PAGO","575.00","0.00","575.00"
"000027227","000026538","PAGO","272.50","0.40","272.90"
"000027228","000026333","PAGO","1090.00","11.00","1101.00"
"000027229","000026150","PAGO","990.00","10.40","1000.40"
"000027231","000026549","PAGO","720.00","0.00","720.00"
"000027233","000026394","PAGO","129.40","0.00","129.40"
"000027234","000026402","PAGO","34.00","1.20","35.20"
"000027236","000026459","PAGO","179.50","1.20","180.70"
"000027237","000026217","PAGO","218.00","1.60","219.60"
"000027239","000026487","PAGO","359.00","0.80","359.80"
"000027242","000026359","PAGO","272.50","0.00","272.50"
"000027244","000026320","PAGO","1123.35","13.60","1136.95"
"000027246","000026568","PAGO","1778.80","12.00","1790.80"
"000027247","000025880","PAGO","0.00","9.60","9.60"
"000027247","000025881","PAGO","568.00","16.00","584.00"
"000027248","000026078","PAGO","18.00","13.50","31.50"
"000027249","000026256","PAGO","0.00","1.20","1.20"
"000027255","000025535","PAGO","1100.00","20.00","1120.00"
"000027264","000019074","PAGO","0.00","0.80","0.80"
"000027265","000026324","PAGO","540.00","0.80","540.80"
"000027266","000026541","PAGO","545.00","0.00","545.00"
"000027267","000026427","PAGO","136.10","0.00","136.10"
"000027268","000026543","PAGO","270.00","0.00","270.00"
"000027269","000026544","PAGO","163.50","0.00","163.50"
"000027274","000026292","PAGO","46.00","0.30","46.30"
"000027276","000026496","PAGO","79.50","1.60","81.10"
"000027278","000026094","PAGO","0.00","0.30","0.30"
"000027279","000025906","PAGO","0.00","0.60","0.60"
"000027280","000026629","PAGO","408.60","2.40","411.00"
"000027282","000026503","PAGO","40.80","0.30","41.10"
"000027285","000026240","PAGO","100.00","0.00","100.00"
"000027286","000026239","PAGO","43.60","0.00","43.60"
"000027287","000026473","PAGO","0.00","3.20","3.20"
"000027288","000026112","PAGO","205.00","4.00","209.00"
"000027289","000026260","PAGO","870.00","10.00","880.00"
"000027290","000025079","PAGO","0.00","0.30","0.30"
"000027290","000026173","PAGO","17.00","2.10","19.10"
"000027292","000026264","PAGO","0.00","1.20","1.20"
"000027293","000026461","PAGO","106.00","0.60","106.60"
"000027295","000026198","PAGO","0.00","2.40","2.40"
"000027296","000026371","PAGO","1800.00","16.00","1816.00"
"000027297","000026439","PAGO","253.00","0.40","253.40"
"000027299","000026334","PAGO","0.00","0.60","0.60"
"000027300","000026479","PAGO","327.00","8.00","335.00"
"000027302","000026718","PAGO","408.50","0.00","408.50"
"000027307","000026336","PAGO","0.00","0.60","0.60"
"000027309","000026469","PAGO","190.00","2.40","192.40"
"000027310","000026291","PAGO","327.00","0.00","327.00"
"000027311","000026575","PAGO","362.00","0.00","362.00"
"000027312","000026813","PAGO","136.10","0.00","136.10"
"000027315","000026668","PAGO","71.10","0.60","71.70"
"000027317","000025064","PAGO","0.00","3.20","3.20"
"000027318","000026509","PAGO","178.50","0.60","179.10"
"000027319","000026165","PAGO","0.00","1.80","1.80"
"000027320","000026431","PAGO","726.00","5.60","731.60"
"000027321","000026836","PAGO","2520.00","0.00","2520.00"
"000027323","000026681","PAGO","614.10","0.80","614.90"
"000027326","000026404","PAGO","190.60","0.00","190.60"
"000027329","000026225","PAGO","0.00","0.40","0.40"
"000027329","000026440","PAGO","654.00","2.40","656.40"
"000027330","000026388","PAGO","252.80","2.80","255.60"
"000027331","000026106","PAGO","0.00","0.30","0.30"
"000027332","000026442","PAGO","114.80","0.00","114.80"
"000027333","000026506","PAGO","98.10","0.30","98.40"
"000027334","000026287","PAGO","318.00","4.80","322.80"
"000027336","000026366","PAGO","0.00","0.80","0.80"
"000027337","000026343","PAGO","0.00","1.80","1.80"
"000027338","000026532","PAGO","81.60","0.30","81.90"
"000027339","000026206","PAGO","0.00","0.60","0.60"
"000027340","000026370","PAGO","0.00","3.20","3.20"
"000027343","000026384","PAGO","50.00","0.00","50.00"
"000027344","000026417","PAGO","1307.50","0.00","1307.50"
"000027345","000026383","PAGO","374.50","15.20","389.70"
"000027346","000026695","PAGO","0.00","4.00","4.00"
"000027347","000026436","PAGO","245.90","1.20","247.10"
"000027348","000026539","PAGO","408.60","5.60","414.20"
"000027349","000026285","PAGO","14.40","0.90","15.30"
"000027350","000026385","PAGO","58.00","0.00","58.00"
"000027351","000026244","PAGO","327.00","2.40","329.40"
"000027352","000026303","PAGO","761.20","2.00","763.20"
"000027353","000017402","PAGO","0.00","2.10","2.10"
"000027353","000026361","PAGO","107.00","2.70","109.70"
"000027355","000026408","PAGO","144.10","2.00","146.10"
"000027356","000026185","PAGO","0.00","1.60","1.60"
"000027357","000026369","PAGO","107.00","2.70","109.70"
"000027358","000026482","PAGO","73.40","1.60","75.00"
"000027359","000026754","PAGO","1575.00","8.00","1583.00"
"000027360","000026660","PAGO","424.00","0.00","424.00"
"000027361","000026566","PAGO","53.10","0.80","53.90"
"000027362","000026635","PAGO","318.00","0.00","318.00"
"000027363","000026571","PAGO","15.90","0.00","15.90"
"000027364","000026445","PAGO","103.00","0.40","103.40"
"000027365","000026362","PAGO","63.00","0.30","63.30"
"000027367","000026761","PAGO","135.00","0.30","135.30"
"000027368","000026573","PAGO","302.40","1.60","304.00"
"000027371","000026649","PAGO","848.00","6.00","854.00"
"000027375","000026414","PAGO","0.00","0.60","0.60"
"000027378","000026610","PAGO","116.90","3.00","119.90"
"000027381","000026367","PAGO","499.00","-0.60","498.40"
"000027383","000026671","PAGO","325.60","0.40","326.00"
"000027384","000026403","PAGO","216.80","2.40","219.20"
"000027385","000026890","PAGO","53.00","1.20","54.20"
"000027390","000026767","PAGO","599.50","3.00","602.50"
"000027393","000026609","PAGO","0.00","1.80","1.80"
"000027395","000026561","PAGO","0.00","0.60","0.60"
"000027398","000026677","PAGO","200.00","0.40","200.40"
"000027400","000026619","PAGO","109.00","0.00","109.00"
"000027403","000026261","PAGO","842.80","14.00","856.80"
"000027404","000019260","PAGO","0.00","0.80","0.80"
"000027405","000026631","PAGO","545.00","0.00","545.00"
"000027409","000026553","PAGO","576.00","4.80","580.80"
"000027410","000026633","PAGO","272.50","1.20","273.70"
"000027411","000022148","PAGO","0.00","0.80","0.80"
"000027412","000026717","PAGO","81.60","0.00","81.60"
"000027415","000026500","PAGO","163.50","0.40","163.90"
"000027416","000026228","PAGO","0.00","1.80","1.80"
"000027417","000026326","PAGO","144.00","0.00","144.00"
"000027419","000026251","PAGO","198.00","6.80","204.80"
"000027420","000026674","PAGO","32.40","3.20","35.60"
"000027423","000026570","PAGO","486.00","9.20","495.20"
"000027425","000026670","PAGO","245.10","0.00","245.10"
"000027428","000026691","PAGO","109.00","0.00","109.00"
"000027429","000026508","PAGO","545.00","0.00","545.00"
"000027433","000026689","PAGO","1215.00","10.00","1225.00"
"000027437","000026765","PAGO","1050.00","0.00","1050.00"
"000027439","000026659","PAGO","136.10","0.60","136.70"
"000027441","000026250","PAGO","0.00","0.60","0.60"
"000027442","000026586","PAGO","96.00","1.50","97.50"
"000027444","000025133","PAGO","0.00","1.20","1.20"
"000027445","000026456","PAGO","36.00","0.40","36.40"
"000027448","000025578","PAGO","0.00","0.30","0.30"
"000027448","000026515","PAGO","0.00","1.80","1.80"
"000027451","000026697","PAGO","272.50","-0.40","272.10"
"000027453","000026435","PAGO","0.00","1.60","1.60"
"000027456","000026793","PAGO","185.00","0.80","185.80"
"000027458","000026389","PAGO","76.30","1.50","77.80"
"000027459","000026468","PAGO","218.00","2.40","220.40"
"000027460","000026723","PAGO","1620.00","6.00","1626.00"
"000027461","000026498","PAGO","71.00","0.00","71.00"
"000027463","000026478","PAGO","0.00","4.00","4.00"
"000027464","000026507","PAGO","0.00","4.40","4.40"
"000027465","000026922","PAGO","468.00","1.60","469.60"
"000027466","000026504","PAGO","0.00","0.90","0.90"
"000027468","000026050","PAGO","0.00","15.20","15.20"
"000027469","000026655","PAGO","190.60","0.40","191.00"
"000027470","000026657","PAGO","105.00","1.60","106.60"
"000027471","000026432","PAGO","0.00","0.30","0.30"
"000027472","000025824","PAGO","0.00","1.20","1.20"
"000027473","000026648","PAGO","272.50","1.60","274.10"
"000027474","000026406","PAGO","64.80","0.80","65.60"
"000027475","000027266","PAGO","545.00","0.00","545.00"
"000027476","000027302","PAGO","408.60","0.00","408.60"
"000027477","000026484","PAGO","0.00","0.80","0.80"
"000027478","000026613","PAGO","1944.00","0.00","1944.00"
"000027479","000026801","PAGO","408.60","0.00","408.60"
"000027480","000025493","PAGO","0.00","3.20","3.20"
"000027484","000026741","PAGO","368.60","2.70","371.30"
"000027486","000026567","PAGO","0.00","1.20","1.20"
"000027487","000026546","PAGO","0.00","0.00","0.00"
"000027488","000026606","PAGO","0.00","2.10","2.10"
"000027489","000026295","PAGO","0.00","2.80","2.80"
"000027490","000026529","PAGO","67.90","0.00","67.90"
"000027493","000026861","PAGO","130.00","0.00","130.00"
"000027494","000026992","PAGO","204.00","1.60","205.60"
"000027495","000026841","PAGO","70.00","0.30","70.30"
"000027496","000026447","PAGO","50.00","0.80","50.80"
"000027497","000026552","PAGO","202.70","0.40","203.10"
"000027499","000026419","PAGO","34.40","0.80","35.20"
"000027501","000025243","PAGO","0.00","0.40","0.40"
"000027502","000026452","PAGO","35.00","0.40","35.40"
"000027503","000025994","PAGO","0.00","8.00","8.00"
"000027504","000026737","PAGO","78.00","1.80","79.80"
"000027506","000026696","PAGO","272.50","1.60","274.10"
"000027507","000027475","PAGO","545.00","0.00","545.00"
"000027510","000026838","PAGO","1312.50","16.00","1328.50"
"000027513","000027147","PAGO","95.40","0.00","95.40"
"000027517","000025414","PAGO","0.00","0.40","0.40"
"000027517","000026409","PAGO","115.40","0.80","116.20"
"000027522","000026398","PAGO","0.00","0.80","0.80"
"000027523","000026788","PAGO","136.10","0.00","136.10"
"000027525","000026597","PAGO","0.00","1.20","1.20"
"000027527","000026719","PAGO","91.00","0.30","91.30"
"000027528","000027033","PAGO","272.50","1.60","274.10"
"000027529","000026810","PAGO","926.50","6.00","932.50"
"000027531","000026855","PAGO","190.80","0.80","191.60"
"000027532","000026856","PAGO","106.00","0.90","106.90"
"000027534","000025601","PAGO","0.00","0.30","0.30"
"000027536","000026365","PAGO","0.00","1.20","1.20"
"000027537","000026770","PAGO","136.10","0.00","136.10"
"000027538","000026675","PAGO","348.80","0.80","349.60"
"000027539","000026460","PAGO","216.00","2.40","218.40"
"000027541","000026676","PAGO","348.80","0.80","349.60"
"000027542","000026355","PAGO","0.00","0.80","0.80"
"000027543","000026666","PAGO","405.00","3.20","408.20"
"000027544","000026665","PAGO","126.40","0.90","127.30"
"000027546","000025744","PAGO","0.00","1.20","1.20"
"000027546","000026652","PAGO","26.50","2.70","29.20"
"000027547","000026358","PAGO","0.00","0.30","0.30"
"000027549","000026634","PAGO","0.00","0.40","0.40"
"000027552","000026778","PAGO","54.00","1.50","55.50"
"000027554","000026799","PAGO","0.00","2.00","2.00"
"000027555","000026826","PAGO","0.00","1.50","1.50"
"000027559","000026475","PAGO","260.60","2.40","263.00"
"000027562","000026576","PAGO","54.50","0.00","54.50"
"000027563","000026966","PAGO","1800.00","0.00","1800.00"
"000027564","000026626","PAGO","468.00","1.60","469.60"
"000027565","000026242","PAGO","0.00","3.60","3.60"
"000027571","000026982","PAGO","397.50","1.60","399.10"
"000027572","000026433","PAGO","0.00","0.90","0.90"
"000027574","000026764","PAGO","0.00","2.10","2.10"
"000027575","000026715","PAGO","129.40","0.90","130.30"
"000027576","000026150","PAGO","0.00","0.80","0.80"
"000027578","000027264","PAGO","0.00","0.00","0.00"
"000027579","000026522","PAGO","143.60","1.20","144.80"
"000027581","000026771","PAGO","580.60","4.00","584.60"
"000027582","000026988","PAGO","272.50","2.40","274.90"
"000027584","000025335","PAGO","0.00","1.20","1.20"
"000027585","000026420","PAGO","0.00","2.40","2.40"
"000027586","000026742","PAGO","490.50","0.80","491.30"
"000027587","000026885","PAGO","0.00","1.80","1.80"
"000027588","000026749","PAGO","0.00","0.30","0.30"
"000027590","000026407","PAGO","132.80","3.20","136.00"
"000027591","000026310","PAGO","0.00","0.30","0.30"
"000027592","000026744","PAGO","129.60","0.30","129.90"
"000027593","000026646","PAGO","0.00","0.30","0.30"
"000027594","000026653","PAGO","3710.00","21.00","3731.00"
"000027595","000026701","PAGO","126.40","1.20","127.60"
"000027597","000026630","PAGO","0.00","18.00","18.00"
"000027598","000026329","PAGO","0.00","0.30","0.30"
"000027599","000027131","PAGO","327.00","4.00","331.00"
"000027600","000026896","PAGO","795.00","0.00","795.00"
"000027601","000026428","PAGO","0.00","3.30","3.30"
"000027603","000026908","PAGO","0.00","0.30","0.30"
"000027604","000026726","PAGO","576.00","0.00","576.00"
"000027605","000027108","PAGO","325.60","1.20","326.80"
"000027606","000026381","PAGO","0.00","1.20","1.20"
"000027608","000026557","PAGO","0.00","1.80","1.80"
"000027609","000026713","PAGO","0.00","4.00","4.00"
"000027610","000026565","PAGO","540.00","2.00","542.00"
"000027611","000026446","PAGO","0.00","2.10","2.10"
"000027612","000026589","PAGO","0.00","0.40","0.40"
"000027615","000026906","PAGO","0.00","0.80","0.80"
"000027616","000026661","PAGO","0.00","18.00","18.00"
"000027621","000026520","PAGO","100.00","2.40","102.40"
"000027623","000026580","PAGO","60.00","0.40","60.40"
"000027624","000026806","PAGO","493.00","3.20","496.20"
"000027626","000026807","PAGO","10.00","0.30","10.30"
"000027627","000026410","PAGO","0.00","2.40","2.40"
"000027628","000026789","PAGO","0.00","0.80","0.80"
"000027629","000026542","PAGO","98.20","1.50","99.70"
"000027630","000026603","PAGO","35.40","1.20","36.60"
"000027633","000026930","PAGO","53.00","0.30","53.30"
"000027634","000027194","PAGO","525.00","3.20","528.20"
"000027636","000026933","PAGO","63.60","1.60","65.20"
"000027642","000027507","PAGO","545.00","0.00","545.00"
"000027643","000026747","DEBE","0.00","2.40","2.40"
"000027646","000026658","PAGO","0.00","0.60","0.60"
"000027647","000026466","PAGO","0.00","2.40","2.40"
"000027648","000027011","PAGO","218.00","0.40","218.40"
"000027650","000026654","PAGO","8.00","0.80","8.80"
"000027652","000026779","PAGO","486.00","2.40","488.40"
"000027655","000026579","PAGO","140.40","2.40","142.80"
"000027656","000026577","PAGO","435.20","2.40","437.60"
"000027658","000026953","PAGO","2520.00","0.00","2520.00"
"000027659","000026535","PAGO","16.00","1.20","17.20"
"000027660","000027321","PAGO","2520.00","0.00","2520.00"
"000027661","000026434","PAGO","0.00","4.00","4.00"
"000027662","000026594","PAGO","32.00","1.20","33.20"
"000027663","000026540","PAGO","0.00","0.60","0.60"
"000027664","000026593","PAGO","61.00","1.60","62.60"
"000027665","000026729","PAGO","85.00","0.00","85.00"
"000027666","000026523","PAGO","53.60","0.90","54.50"
"000027667","000026556","PAGO","16.70","0.00","16.70"
"000027668","000026527","PAGO","0.00","0.00","0.00"
"000027669","000026784","PAGO","0.00","0.30","0.30"
"000027675","000026592","PAGO","0.00","2.70","2.70"
"000027677","000026776","PAGO","3710.00","21.00","3731.00"
"000027678","000026785","PAGO","0.00","1.50","1.50"
"000027682","000026946","PAGO","787.50","4.00","791.50"
"000027683","000026808","PAGO","0.00","2.40","2.40"
"000027685","000024868","PAGO","0.00","0.90","0.90"
"000027686","000026923","PAGO","72.00","1.50","73.50"
"000027687","000026791","PAGO","0.00","0.00","0.00"
"000027690","000026759","PAGO","1452.60","4.00","1456.60"
"000027692","000026611","PAGO","0.00","0.00","0.00"
"000027697","000026574","PAGO","34.40","0.40","34.80"
"000027698","000026978","PAGO","108.00","0.60","108.60"
"000027699","000026800","PAGO","0.00","1.80","1.80"
"000027701","000026625","PAGO","1653.00","4.00","1657.00"
"000027702","000026731","PAGO","745.00","6.00","751.00"
"000027704","000026578","PAGO","0.00","0.00","0.00"
"000027706","000027016","PAGO","1060.00","2.00","1062.00"
"000027708","000026797","PAGO","0.00","0.30","0.30"
"000027710","000026722","PAGO","816.10","5.00","821.10"
"000027711","000026987","PAGO","0.00","1.50","1.50"
"000027712","000026728","PAGO","325.60","1.60","327.20"
"000027712","000026865","PAGO","362.00","1.20","363.20"
"000027713","000026937","PAGO","0.00","2.80","2.80"
"000027714","000027070","PAGO","270.00","0.00","270.00"
"000027718","000026641","PAGO","0.00","6.00","6.00"
"000027719","000026848","PAGO","54.50","0.00","54.50"
"000027720","000026921","PAGO","0.00","6.00","6.00"
"000027722","000026698","PAGO","143.60","0.00","143.60"
"000027724","000026702","PAGO","180.00","0.00","180.00"
"000027725","000026877","PAGO","181.00","0.00","181.00"
"000027730","000025117","PAGO","0.00","0.40","0.40"
"000027732","000026599","PAGO","227.50","10.00","237.50"
"000027734","000027032","PAGO","53.00","0.80","53.80"
"000027735","000027239","PAGO","319.00","2.40","321.40"
"000027737","000026837","PAGO","239.00","0.40","239.40"
"000027738","000026512","PAGO","0.00","1.80","1.80"
"000027739","000026513","PAGO","0.00","1.80","1.80"
"000027741","000026926","PAGO","189.00","0.40","189.40"
"000027745","000027155","PAGO","408.00","0.00","408.00"
"000027747","000027017","PAGO","136.10","0.90","137.00"
"000027749","000027046","PAGO","122.40","1.80","124.20"
"000027750","000026899","PAGO","3888.00","27.00","3915.00"
"000027751","000026703","PAGO","70.50","2.10","72.60"
"000027752","000027193","PAGO","1050.00","8.00","1058.00"
"000027753","000026964","PAGO","1620.00","0.00","1620.00"
"000027755","000023156","PAGO","0.00","4.20","4.20"
"000027757","000026903","PAGO","218.00","1.60","219.60"
"000027758","000026913","PAGO","272.50","0.00","272.50"
"000027759","000027084","PAGO","272.50","0.00","272.50"
"000027760","000027085","PAGO","272.50","0.00","272.50"
"000027761","000027642","PAGO","545.00","0.00","545.00"
"000027762","000026643","PAGO","0.00","1.60","1.60"
"000027764","000027013","PAGO","360.00","0.40","360.40"
"000027767","000025061","PAGO","0.00","0.30","0.30"
"000027769","000026756","PAGO","395.00","5.60","400.60"
"000027772","000027116","PAGO","594.00","0.00","594.00"
"000027773","000027057","PAGO","1452.00","0.00","1452.00"
"000027774","000026829","PAGO","654.00","1.00","655.00"
"000027775","000027214","PAGO","576.00","0.00","576.00"
"000027776","000026968","PAGO","272.50","2.00","274.50"
"000027780","000027230","PAGO","0.00","0.00","0.00"
"000027781","000026525","PAGO","0.00","3.60","3.60"
"000027786","000026845","PAGO","0.00","0.30","0.30"
"000027787","000026795","PAGO","31.00","2.40","33.40"
"000027788","000026662","PAGO","0.00","1.20","1.20"
"000027789","000026533","PAGO","0.00","3.30","3.30"
"000027791","000026915","PAGO","0.00","4.00","4.00"
"000027792","000026824","PAGO","0.00","2.40","2.40"
"000027793","000027140","PAGO","327.00","-0.80","326.20"
"000027794","000027476","PAGO","408.60","0.00","408.60"
"000027795","000026822","PAGO","0.00","2.70","2.70"
"000027796","000026950","PAGO","1015.90","12.00","1027.90"
"000027797","000026830","PAGO","0.00","0.00","0.00"
"000027798","000026707","PAGO","0.00","0.80","0.80"
"000027800","000026528","PAGO","0.00","0.00","0.00"
"000027802","000026732","PAGO","0.00","5.60","5.60"
"000027803","000026888","PAGO","288.00","0.80","288.80"
"000027805","000026996","PAGO","157.00","0.60","157.60"
"000027806","000026669","PAGO","180.00","4.00","184.00"
"000027808","000027157","PAGO","3150.00","3.00","3153.00"
"000027809","000026569","PAGO","0.00","2.00","2.00"
"000027811","000026820","PAGO","125.50","0.00","125.50"
"000027812","000026817","PAGO","0.00","0.00","0.00"
"000027813","000026678","PAGO","0.00","0.00","0.00"
"000027815","000026168","PAGO","0.00","0.90","0.90"
"000027819","000026892","PAGO","0.00","0.80","0.80"
"000027821","000025626","PAGO","0.00","0.30","0.30"
"000027821","000026721","PAGO","13.60","3.30","16.90"
"000027822","000026373","PAGO","0.00","2.10","2.10"
"000027823","000026940","PAGO","0.00","0.80","0.80"
"000027824","000026969","PAGO","0.00","2.00","2.00"
"000027826","000026936","PAGO","963.00","3.00","966.00"
"000027827","000026753","PAGO","0.00","2.00","2.00"
"000027828","000026686","PAGO","720.00","12.80","732.80"
"000027829","000026345","PAGO","0.00","0.40","0.40"
"000027830","000026850","PAGO","216.40","1.20","217.60"
"000027831","000026967","PAGO","648.00","0.80","648.80"
"000027833","000027227","PAGO","272.50","2.00","274.50"
"000027835","000027107","PAGO","294.10","1.60","295.70"
"000027836","000027179","PAGO","1452.00","2.00","1454.00"
"000027837","000027251","PAGO","0.00","3.00","3.00"
"000027839","000026849","PAGO","126.00","1.60","127.60"
"000027840","000026998","PAGO","234.50","1.20","235.70"
"000027841","000026687","PAGO","0.00","4.40","4.40"
"000027842","000026842","PAGO","990.00","6.00","996.00"
"000027843","000026894","PAGO","0.00","10.00","10.00"
"000027844","000026935","PAGO","169.00","2.80","171.80"
"000027847","000027268","PAGO","270.00","0.00","270.00"
"000027849","000027269","PAGO","163.50","0.80","164.30"
"000027850","000026932","PAGO","0.00","0.90","0.90"
"000027851","000022040","PAGO","0.00","6.00","6.00"
"000027853","000027210","PAGO","181.00","0.60","181.60"
"000027855","000027220","PAGO","0.00","15.00","15.00"
"000027856","000027267","PAGO","136.10","0.00","136.10"
"000027860","000025211","PAGO","0.00","0.00","0.00"
"000027861","000026739","PAGO","900.00","0.00","900.00"
"000027863","000027036","PAGO","252.80","0.00","252.80"
"000027864","000025498","PAGO","0.00","3.20","3.20"
"000027865","000027196","PAGO","0.00","0.60","0.60"
"000027867","000026775","PAGO","107.20","0.00","107.20"
"000027868","000026750","PAGO","0.00","1.20","1.20"
"000027870","000027103","PAGO","136.10","0.00","136.10"
"000027873","000026449","PAGO","0.00","0.80","0.80"
"000027874","000026798","PAGO","380.00","1.00","381.00"
"000027876","000027122","PAGO","28.00","0.60","28.60"
"000027877","000027346","PAGO","366.60","2.00","368.60"
"000027878","000019139","PAGO","0.00","2.40","2.40"
"000027879","000023745","PAGO","0.00","1.80","1.80"
"000027880","000026941","PAGO","525.00","3.00","528.00"
"000027882","000027217","PAGO","54.50","1.20","55.70"
"000027883","000026907","PAGO","108.20","0.60","108.80"
"000027886","000027069","PAGO","1090.00","1.00","1091.00"
"000027887","000027394","PAGO","190.60","0.00","190.60"
"000027888","000027206","PAGO","726.40","3.20","729.60"
"000027891","000027092","PAGO","144.00","0.90","144.90"
"000027892","000026588","PAGO","0.00","7.60","7.60"
"000027896","000026386","PAGO","0.00","0.80","0.80"
"000027898","000026928","PAGO","289.20","0.00","289.20"
"000027904","000027099","PAGO","362.00","1.60","363.60"
"000027905","000026219","PAGO","0.00","0.30","0.30"
"000027906","000027162","PAGO","1890.00","0.00","1890.00"
"000027908","000026537","PAGO","0.00","0.60","0.60"
"000027909","000026889","PAGO","0.00","0.40","0.40"
"000027910","000026872","PAGO","458.50","7.20","465.70"
"000027911","000027323","PAGO","530.00","3.20","533.20"
"000027912","000027228","PAGO","1013.60","5.00","1018.60"
"000027913","000027271","PAGO","327.00","0.00","327.00"
"000027914","000027005","PAGO","0.00","0.30","0.30"
"000027916","000026827","PAGO","107.20","0.40","107.60"
"000027918","000026828","PAGO","53.60","0.30","53.90"
"000027919","000027234","PAGO","241.00","1.20","242.20"
"000027920","000027047","PAGO","0.00","1.60","1.60"
"000027921","000026884","PAGO","0.00","2.40","2.40"
"000027923","000026683","PAGO","0.00","2.80","2.80"
"000027925","000027280","PAGO","0.00","6.40","6.40"
"000027926","000026980","PAGO","64.10","2.10","66.20"
"000027928","000027051","PAGO","162.80","2.10","164.90"
"000027929","000027063","PAGO","848.00","8.00","856.00"
"000027930","000027465","PAGO","467.80","1.60","469.40"
"000027931","000026787","PAGO","12.80","0.00","12.80"
"000027933","000027031","PAGO","0.00","2.70","2.70"
"000027934","000026598","PAGO","0.00","0.60","0.60"
"000027935","000027307","PAGO","136.10","0.30","136.40"
"000027936","000027195","PAGO","0.00","2.70","2.70"
"000027939","000027018","PAGO","203.00","0.00","203.00"
"000027942","000027015","PAGO","272.50","0.40","272.90"
"000027943","000027385","PAGO","136.00","2.00","138.00"
"000027945","000027117","PAGO","165.00","0.00","165.00"
"000027947","000026976","PAGO","66.00","0.90","66.90"
"000027948","000027088","PAGO","0.00","0.00","0.00"
"000027949","000026745","PAGO","28.80","1.20","30.00"
"000027950","000026857","PAGO","144.40","0.00","144.40"
"000027951","000027095","PAGO","0.00","18.00","18.00"
"000027952","000027362","PAGO","530.00","0.00","530.00"
"000027954","000027014","PAGO","0.00","0.00","0.00"
"000027955","000027352","PAGO","2542.00","0.00","2542.00"
"000027956","000026781","PAGO","0.00","0.60","0.60"
"000027958","000027009","PAGO","129.40","1.80","131.20"
"000027959","000027177","PAGO","0.00","0.00","0.00"
"000027961","000027002","PAGO","0.00","0.00","0.00"
"000027962","000026960","PAGO","0.00","0.80","0.80"
"000027964","000027183","PAGO","133.60","0.90","134.50"
"000027965","000027097","PAGO","358.40","1.20","359.60"
"000027966","000027166","PAGO","340.00","1.60","341.60"
"000027967","000026451","PAGO","0.00","1.50","1.50"
"000027968","000027246","PAGO","2083.20","18.00","2101.20"
"000027969","000027298","PAGO","53.60","1.20","54.80"
"000027970","000026716","PAGO","0.00","4.00","4.00"
"000027971","000027309","PAGO","230.00","2.40","232.40"
"000027972","000027226","PAGO","0.00","0.60","0.60"
"000027974","000012147","PAGO","0.00","0.00","0.00"
"000027975","000027071","PAGO","0.00","0.40","0.40"
"000027977","000027253","PAGO","0.00","0.60","0.60"
"000027980","000026595","PAGO","0.00","0.00","0.00"
"000027981","000027030","PAGO","405.00","9.60","414.60"
"000027982","000027383","PAGO","362.00","1.20","363.20"
"000027983","000014135","PAGO","0.00","0.80","0.80"
"000027984","000026710","PAGO","0.00","0.90","0.90"
"000027985","000027007","PAGO","540.00","5.60","545.60"
"000027987","000027058","PAGO","1855.00","12.00","1867.00"
"000027989","000026618","PAGO","0.00","8.00","8.00"
"000027990","000027330","PAGO","106.00","2.00","108.00"
"000027991","000026680","PAGO","0.00","3.00","3.00"
